"","condition","icnarcCode","surgicalCode","medicalCode","tailCode","duplicateCode","system","site","process","conditionTier","admission_freq"
"549","Traumatic small bowel perforation","GA133","1.3.5.38.2","2.3.5.38.2","3.5.38.2",0,"Gastrointestinal",5,"Trauma",2,NA
"550","Contiguous gene syndromes","EN85","1.8.11.47.1","2.8.11.47.1","8.11.47.1",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",11,"Contiguous gene syndromes",1,NA
"551","Wolff-Parkinson-White syndrome","CA129","1.2.5.8.1","2.2.5.8.1","2.5.8.1",0,"Cardiovascular",5,"Congenital or acquired deformity or abnormality",1,NA
"552","Traumatic perforation or rupture of urethra","GE70","1.5.5.2.2","2.5.5.2.2","5.5.2.2",1,"Genito-urinary",2,"Trauma",2,NA
"553","Variceal bleeding","GA136","1.3.7.15.1","2.3.7.15.1","3.7.15.1",0,"Gastrointestinal",7,"Haemorrhage",1,NA
"554","Toxic polyneuropathy","NE60","1.1.7.28.2","2.1.7.28.2","1.7.28.2",1,"Respiratory",7,"Inflammation",2,NA
"555","Traumatic renal rupture","GE73","1.5.5.1.1","2.5.5.1.1","5.5.1.1",1,"Genito-urinary",1,"Trauma",1,NA
"556","Sputum retention","RE108","1.1.2.30.4","2.1.2.30.4","1.2.30.4",0,"Respiratory",2,"Obstruction",4,NA
"557","Pancreatic abscess or infected pseudocyst","GA103","1.3.9.27.1","2.3.9.27.1","3.9.27.1",0,"Gastrointestinal",9,"Infection",1,NA
"558","Instrumental damage to bladder or urethra","GE27","1.5.5.2.3","2.5.5.2.3","5.5.2.3",1,"Genito-urinary",2,"Trauma",3,NA
"559","Disseminated intravascular coagulation","HA9","1.9.1.14.3","2.9.1.14.3","9.1.14.3",0,"Haematological/Immunological",1,"Haemolysis or thrombocytopaenia",3,NA
"560","Meconium aspiration","RE72","1.1.2.30.7","2.1.2.30.7","1.2.30.7",1,"Respiratory",2,"Obstruction",7,NA
"561","Right ventricular failure","CA97","1.2.2.13.2","2.2.2.13.2","2.2.13.2",0,"Cardiovascular",2,"Failure",2,NA
"562","Bleeding from the biliary tree","GA13","1.3.7.15.3","2.3.7.15.3","3.7.15.3",0,"Gastrointestinal",7,"Haemorrhage",3,NA
"563","Intracranial abscess","NE2","1.1.10.27.3","2.1.10.27.3","1.10.27.3",1,"Respiratory",10,"Infection",3,NA
"564","Thoracic spine fracture or ligamentous injury","MU33","1.5.6.1.2","2.5.6.1.2","5.6.1.2",1,"Musculoskeletal",1,"Trauma",2,NA
"565","Cutaneous melanoma","DE6","1.11.1.39.1","2.11.1.39.1","11.1.39.1",0,"Dermatological",1,"Tumour or malignancy",1,NA
"566","Haemopericardium from traumatic myocardial perforation","CA44","1.2.3.15.3","2.2.3.15.3","2.3.15.3",0,"Cardiovascular",3,"Haemorrhage",3,NA
"567","Non-accidental injury to large bowel,  rectum or anus","GA84","1.3.6.38.6","2.3.6.38.6","3.6.38.6",0,"Gastrointestinal",6,"Trauma",6,NA
"568","Traumatic rupture or puncture of carotid or vertebral artery","GA91","1.2.9.38.1","2.2.9.38.1","2.9.38.1",1,"Cardiovascular",9,"Trauma",1,NA
"569","Instrumental perforation of bronchus","RE61","1.1.2.38.2","2.1.2.38.2","1.2.38.2",0,"Respiratory",2,"Trauma",2,NA
"570","Instrumental damage to renal or splanchnic vessels","GA139","1.2.8.38.3","2.2.8.38.3","2.8.38.3",0,"Cardiovascular",8,"Trauma",3,NA
"571","Septic abortion","GE49","1.7.4.27.4","2.7.4.27.4","7.4.27.4",0,"Genito-urinary",4,"Infection",4,NA
"572","Pericardial effusion","CA90","1.2.3.8.2","2.2.3.8.2","2.3.8.2",1,"Cardiovascular",3,"Congenital or acquired deformity or abnormality",2,NA
"573","Mediastinitis","CA81","1.1.5.27.3","2.1.5.27.3","1.5.27.3",2,"Respiratory",5,"Infection",3,NA
"574","Non-traumatic small bowel perforation","GA89","1.3.5.38.1","2.3.5.38.1","3.5.38.1",0,"Gastrointestinal",5,"Trauma",1,NA
"575","Vocal cord abnormality","RE38","1.1.1.8.6","2.1.1.8.6","1.1.8.6",0,"Respiratory",1,"Congenital or acquired deformity or abnormality",6,NA
"576","Rhabdomyolysis","MU18","1.10.3.27.4","2.10.3.27.4","10.3.27.4",2,"Musculoskeletal",3,"Infection",4,NA
"577","Haemolytic or uraemic syndrome","HA15","1.9.1.14.6","2.9.1.14.6","9.1.14.6",0,"Haematological/Immunological",1,"Haemolysis or thrombocytopaenia",6,NA
"578","Trauma to pulmonary valve","CA111","1.2.4.38.3","2.2.4.38.3","2.4.38.3",0,"Cardiovascular",4,"Trauma",3,NA
"579","Self poisoning with carbon monoxide","EN64","1.6.8.34.11","2.6.8.34.11","6.8.34.11",1,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Self intoxication or self poisoning",11,NA
"580","Bronchiolitis obliterans","RE17","1.1.2.28.2","2.1.2.28.2","1.2.28.2",1,"Respiratory",2,"Inflammation",2,NA
"581","Leaking biliary anastamosis","GA143","1.3.7.38.6","2.3.7.38.6","3.7.38.6",0,"Gastrointestinal",7,"Trauma",6,NA
"582","Croup or laryngotracheobronchitis","RE27","1.1.1.27.4","2.1.1.27.4","1.1.27.4",1,"Respiratory",1,"Infection",4,NA
"583","Congenital abnormality of aortic arch","CA30","1.2.6.8.3","2.2.6.8.3","2.6.8.3",0,"Cardiovascular",6,"Congenital or acquired deformity or abnormality",3,NA
"584","Complex congenital cardiac abnormality","CA29","1.2.2.8.1","2.2.2.8.1","2.2.8.1",0,"Cardiovascular",2,"Congenital or acquired deformity or abnormality",1,NA
"585","Inhalation pneumonitis (blood)","RE57","1.1.4.31.6","2.1.4.31.6","1.4.31.6",0,"Respiratory",4,"Oedema, inflammation, fibrosis or inhalation",6,NA
"586","Perforated biliary tree or gall bladder","GA106","1.3.7.38.2","2.3.7.38.2","3.7.38.2",0,"Gastrointestinal",7,"Trauma",2,NA
"587","Biliary atresia","GA8","1.3.7.8.1","2.3.7.8.1","3.7.8.1",1,"Gastrointestinal",7,"Congenital or acquired deformity or abnormality",1,NA
"588","Poliomyelitis","RE96","1.1.6.27.2","2.1.6.27.2","1.6.27.2",1,"Respiratory",6,"Infection",2,NA
"589","Non-traumatic duodenal rupture","GA86","1.3.4.38.1","2.3.4.38.1","3.4.38.1",0,"Gastrointestinal",4,"Trauma",1,NA
"590","Depression","PS3","1.12.1.49.1","2.12.1.49.1","12.1.49.1",0,"Psychiatric",1,"Affective disorder",1,NA
"591","Drug induced hyperpyrexia or neuroleptic malignant syndrome","EN51","1.8.7.20.2","2.8.7.20.2","8.7.20.2",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",7,"Hyperthermia",2,NA
"592","Perinephric abscess","GE38","1.7.1.27.2","2.7.1.27.2","7.1.27.2",0,"Genito-urinary",1,"Infection",2,NA
"593","Accidental poisoning with tri- and tetracyclic antidepressants","EN87","1.6.8.1.3","2.6.8.1.3","6.8.1.3",1,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Accidental intoxication or poisoning",3,NA
"594","Atrial premature beats or ectopics","CA14","1.2.5.32.3","2.2.5.32.3","2.5.32.3",0,"Cardiovascular",5,"Over-activity",3,NA
"595","Pulmonary haemorrhage not defined","RE83","1.1.3.15.5","2.1.3.15.5","1.3.15.5",1,"Respiratory",3,"Haemorrhage",5,NA
"596","Lower limb artery aneurysm or dissection","CA75","1.2.10.11.2","2.2.10.11.2","2.10.11.2",0,"Cardiovascular",10,"Dissection or aneurysm",2,NA
"597","Heart or heart-lung transplant","CA47","1.2.2.37.1","2.2.2.37.1","2.2.37.1",0,"Cardiovascular",2,"Transplant or related",1,NA
"598","Instrumental damage to limb artery","CA67","1.2.10.38.3","2.2.10.38.3","2.10.38.3",0,"Cardiovascular",10,"Trauma",3,NA
"599","Traumatic or instrumental perforation of thoracic aorta","CA114","1.2.6.38.2","2.2.6.38.2","2.6.38.2",0,"Cardiovascular",6,"Trauma",2,NA
"600","Renal artery aneurysm or dissection","GE44","1.2.8.11.1","2.2.8.11.1","2.8.11.1",3,"Cardiovascular",8,"Dissection or aneurysm",1,NA
"601","Inflammatory perforation of small bowel","GA55","1.3.5.28.2","2.3.5.28.2","3.5.28.2",0,"Gastrointestinal",5,"Inflammation",2,NA
"602","Myelodysplasia","HA23","1.9.2.25.3","2.9.2.25.3","9.2.25.3",0,"Haematological/Immunological",2,"Hypoplasia or dysplasia",3,NA
"603","Prostatitis","GE41","1.7.5.27.1","2.7.5.27.1","7.5.27.1",0,"Genito-urinary",5,"Infection",1,NA
"604","Traumatic aorto-enteric fistula","CA135","1.2.7.11.5","2.2.7.11.5","2.7.11.5",1,"Cardiovascular",7,"Dissection or aneurysm",5,NA
"605","Spontaneous subcapsular haematoma","GA127","1.3.7.15.2","2.3.7.15.2","3.7.15.2",0,"Gastrointestinal",7,"Haemorrhage",2,NA
"606","Nephrolithiasis","GE63","1.7.1.8.3","2.7.1.8.3","7.1.8.3",0,"Genito-urinary",1,"Congenital or acquired deformity or abnormality",3,NA
"607","Self poisoning with insulin","EN95","1.6.8.34.9","2.6.8.34.9","6.8.34.9",1,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Self intoxication or self poisoning",9,NA
"608","Goodpastures syndrome","RE51","1.1.3.15.1","2.1.3.15.1","1.3.15.1",4,"Respiratory",3,"Haemorrhage",1,NA
"609","Acromegaly","EN2","1.8.2.32.2","2.8.2.32.2","8.2.32.2",1,"Endocrine, Metabolic, Thermoregulation and Poisoning",2,"Over-activity",2,NA
"610","Accidental poisoning with carbon monoxide","EN88","1.6.8.1.11","2.6.8.1.11","6.8.1.11",1,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Accidental intoxication or poisoning",11,NA
"611","Ulcerative colitis","GA135","1.3.6.28.2","2.3.6.28.2","3.6.28.2",0,"Gastrointestinal",6,"Inflammation",2,NA
"612","Polycythaemia","HA26","1.9.1.8.2","2.9.1.8.2","9.1.8.2",0,"Haematological/Immunological",1,"Congenital or acquired deformity or abnormality",2,NA
"613","Fat embolus","RE47","1.1.3.30.2","2.1.3.30.2","1.3.30.2",1,"Respiratory",3,"Obstruction",2,NA
"614","Accidental poisoning with non-cyclic antidepressants","EN10","1.6.8.1.4","2.6.8.1.4","6.8.1.4",1,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Accidental intoxication or poisoning",4,NA
"615","Gastroschisis or exomphalos","GA40","1.3.10.8.2","2.3.10.8.2","3.10.8.2",0,"Gastrointestinal",10,"Congenital or acquired deformity or abnormality",2,NA
"616","Non-traumatic large bowel perforation or rupture","GA88","1.3.6.38.1","2.3.6.38.1","3.6.38.1",0,"Gastrointestinal",6,"Trauma",1,NA
"617","Accidental poisoning with agent not defined","EN50","1.6.8.1.13","2.6.8.1.13","6.8.1.13",1,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Accidental intoxication or poisoning",13,NA
"618","Tracheal trauma or perforation","RE34","1.1.1.38.3","2.1.1.38.3","1.1.38.3",0,"Respiratory",1,"Trauma",3,NA
"619","Chemical burns","DE18","1.11.1.5.4","2.11.1.5.4","11.1.5.4",0,"Dermatological",1,"Burns or hyperthermia",4,NA
"620","Scleroderma","DE12","1.11.1.28.7","2.11.1.28.7","11.1.28.7",0,"Dermatological",1,"Inflammation",7,NA
"621","Testicular or penile tumour","GE50","1.7.5.39.1","2.7.5.39.1","7.5.39.1",0,"Genito-urinary",5,"Tumour or malignancy",1,NA
"622","Mania or manic depression","PS5","1.12.1.49.2","2.12.1.49.2","12.1.49.2",0,"Psychiatric",1,"Affective disorder",2,NA
"623","Traumatic rupture of thoracic aorta","CA113","1.2.6.38.1","2.2.6.38.1","2.6.38.1",0,"Cardiovascular",6,"Trauma",1,NA
"624","Antepartum haemorrhage","GE11","1.7.4.15.1","2.7.4.15.1","7.4.15.1",0,"Genito-urinary",4,"Haemorrhage",1,NA
"625","Abnormality of prosthetic valve","CA139","1.2.4.8.7","2.2.4.8.7","2.4.8.7",0,"Cardiovascular",4,"Congenital or acquired deformity or abnormality",7,NA
"626","Abnormality of urethra","GE2","1.7.2.8.2","2.7.2.8.2","7.2.8.2",0,"Genito-urinary",2,"Congenital or acquired deformity or abnormality",2,NA
"627","HIV","HA14","1.9.1.27.3","2.9.1.27.3","9.1.27.3",0,"Haematological/Immunological",1,"Infection",3,NA
"628","Inhalational burns","RE60","1.1.1.28.1","2.1.1.28.1","1.1.28.1",1,"Respiratory",1,"Inflammation",1,NA
"629","Secondary retroperitoneal malignancy","GA117","1.3.10.39.2","2.3.10.39.2","3.10.39.2",0,"Gastrointestinal",10,"Tumour or malignancy",2,NA
"630","Viral or bacterial cardiomyopathy","CA125","1.2.2.27.1","2.2.2.27.1","2.2.27.1",0,"Cardiovascular",2,"Infection",1,NA
"631","Pelvic fracture","MU39","1.5.6.2.1","2.5.6.2.1","5.6.2.1",1,"Musculoskeletal",2,"Trauma",1,NA
"632","Venous air embolus","RE2","1.1.3.30.3","2.1.3.30.3","1.3.30.3",2,"Respiratory",3,"Obstruction",3,NA
"633","Non-accidental injury to female genitalia","GE33","1.5.5.3.3","2.5.5.3.3","5.5.3.3",1,"Genito-urinary",3,"Trauma",3,NA
"634","Double outlet left ventricle","CA35","1.2.2.8.15","2.2.2.8.15","2.2.8.15",0,"Cardiovascular",2,"Congenital or acquired deformity or abnormality",15,NA
"635","Renal infarction","GE46","1.2.8.30.3","2.2.8.30.3","2.8.30.3",1,"Cardiovascular",8,"Obstruction",3,NA
"636","Haemorrhage into or from thyroid","EN27","1.8.1.15.1","2.8.1.15.1","8.1.15.1",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",1,"Haemorrhage",1,NA
"637","Small bowel arterio-venous malformation","GA7","1.3.5.15.2","2.3.5.15.2","3.5.15.2",0,"Gastrointestinal",5,"Haemorrhage",2,NA
"638","Islet cell transplant","EN44","1.8.4.37.1","2.8.4.37.1","8.4.37.1",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",4,"Transplant or related",1,NA
"639","Infective polyneuropathy","NE18","1.1.7.27.1","2.1.7.27.1","1.7.27.1",1,"Respiratory",7,"Infection",1,NA
"640","Acute lymphoblastic leukaemia","HA1","1.9.2.39.1","2.9.2.39.1","9.2.39.1",0,"Haematological/Immunological",2,"Tumour or malignancy",1,NA
"641","Diabetes mellitus","EN19","1.8.4.10.5","2.8.4.10.5","8.4.10.5",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",4,"Diabetes mellitus",5,NA
"642","Instrumental damage to abdominal aorta or iliac vessels","CA133","1.2.7.38.2","2.2.7.38.2","2.7.38.2",0,"Cardiovascular",7,"Trauma",2,NA
"643","Traumatic dissection of thoracic aorta","CA115","1.2.6.11.1","2.2.6.11.1","2.6.11.1",0,"Cardiovascular",6,"Dissection or aneurysm",1,NA
"644","Renal vasculitis","GE68","1.7.1.28.3","2.7.1.28.3","7.1.28.3",1,"Genito-urinary",1,"Inflammation",3,NA
"645","Iatrogenic potassium intoxication","EN38","1.8.8.17.1","2.8.8.17.1","8.8.17.1",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Hyperkalaemia",1,NA
"646","Infective hepatitis","GA52","1.3.7.27.2","2.3.7.27.2","3.7.27.2",0,"Gastrointestinal",7,"Infection",2,NA
"647","Arnold-Chiari malformation","RE9","1.1.10.8.3","2.1.10.8.3","1.10.8.3",1,"Respiratory",10,"Congenital or acquired deformity or abnormality",3,NA
"648","Leptospirosis","GE29","1.1.3.15.3","2.1.3.15.3","1.3.15.3",5,"Respiratory",3,"Haemorrhage",3,NA
"649","Accidental poisoning with gases (not carbon monoxide)","EN90","1.6.8.1.12","2.6.8.1.12","6.8.1.12",1,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Accidental intoxication or poisoning",12,NA
"650","Hiatus hernia","GA44","1.1.5.8.2","2.1.5.8.2","1.5.8.2",0,"Respiratory",5,"Congenital or acquired deformity or abnormality",2,NA
"651","Kyphoscoliosis","MU6","1.1.9.8.2","2.1.9.8.2","1.9.8.2",1,"Respiratory",9,"Congenital or acquired deformity or abnormality",2,NA
"652","Eisenmenger's syndrome","CA131","1.1.3.19.2","2.1.3.19.2","1.3.19.2",1,"Respiratory",3,"Hypertension",2,NA
"653","Pelvic infection or abscess","GE36","1.3.10.27.6","2.3.10.27.6","3.10.27.6",3,"Gastrointestinal",10,"Infection",6,NA
"654","Crohn's disease of large bowel,  rectum or anus","GA150","1.3.6.28.1","2.3.6.28.1","3.6.28.1",0,"Gastrointestinal",6,"Inflammation",1,NA
"655","Infective pancreatitis","GA54","1.3.9.27.2","2.3.9.27.2","3.9.27.2",0,"Gastrointestinal",9,"Infection",2,NA
"656","Excess parenteral fluids","EN23","1.8.8.43.2","2.8.8.43.2","8.8.43.2",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Fluid overload",2,NA
"657","Addison's disease","EN4","1.8.3.40.1","2.8.3.40.1","8.3.40.1",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",3,"Under-activity",1,NA
"658","Water intoxication","EN73","1.8.8.24.1","2.8.8.24.1","8.8.24.1",1,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Hyponatraemia",1,NA
"659","Secondary tumour in vertebral column","MU21","1.10.1.39.2","2.10.1.39.2","10.1.39.2",0,"Musculoskeletal",1,"Tumour or malignancy",2,NA
"660","Traumatic disruption of ureters","GE71","1.5.5.1.2","2.5.5.1.2","5.5.1.2",1,"Genito-urinary",1,"Trauma",2,NA
"661","Lumbar spine fracture or ligamentous injury","MU31","1.5.6.1.3","2.5.6.1.3","5.6.1.3",1,"Musculoskeletal",1,"Trauma",3,NA
"662","Right ventricular outflow tract obstruction","CA98","1.2.2.8.13","2.2.2.8.13","2.2.8.13",0,"Cardiovascular",2,"Congenital or acquired deformity or abnormality",13,NA
"663","Hepatic artery aneurysm","GA42","1.2.8.11.2","2.2.8.11.2","2.8.11.2",2,"Cardiovascular",8,"Dissection or aneurysm",2,NA
"664","Drug induced hypokalaemia","EN21","1.8.8.23.2","2.8.8.23.2","8.8.23.2",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Hypokalaemia",2,NA
"665","Accidental poisoning with paracetamol","EN91","1.6.8.1.7","2.6.8.1.7","6.8.1.7",1,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Accidental intoxication or poisoning",7,NA
"666","Infected CSF shunt","NE49","1.1.10.27.4","2.1.10.27.4","1.10.27.4",1,"Respiratory",10,"Infection",4,NA
"667","Molar pregnancy","GE31","1.7.4.39.1","2.7.4.39.1","7.4.39.1",0,"Genito-urinary",4,"Tumour or malignancy",1,NA
"668","Renal artery embolus","GE45","1.2.8.30.2","2.2.8.30.2","2.8.30.2",1,"Cardiovascular",8,"Obstruction",2,NA
"669","Liver transplant rejection","GA79","1.3.7.37.2","2.3.7.37.2","3.7.37.2",0,"Gastrointestinal",7,"Transplant or related",2,NA
"670","Smoke inhalation","RE106","1.1.2.28.1","2.1.2.28.1","1.2.28.1",0,"Respiratory",2,"Inflammation",1,NA
"671","Biliary fistula","GA9","1.3.7.38.5","2.3.7.38.5","3.7.38.5",0,"Gastrointestinal",7,"Trauma",5,NA
"672","Lung collapse secondary to broncho-pleural fistula","RE26","1.1.4.6.5","2.1.4.6.5","1.4.6.5",0,"Respiratory",4,"Collapse",5,NA
"673","Imperforate anus or rectum","GA48","1.3.6.8.1","2.3.6.8.1","3.6.8.1",0,"Gastrointestinal",6,"Congenital or acquired deformity or abnormality",1,NA
"674","Ankylosing spondylitis","RE6","1.1.9.8.6","2.1.9.8.6","1.9.8.6",0,"Respiratory",9,"Congenital or acquired deformity or abnormality",6,NA
"675","Small bowel herniation","GA119","1.3.5.30.1","2.3.5.30.1","3.5.30.1",0,"Gastrointestinal",5,"Obstruction",1,NA
"676","Pleurisy","RE93","1.1.5.27.1","2.1.5.27.1","1.5.27.1",0,"Respiratory",5,"Infection",1,NA
"677","Spinal ankylosis","MU23","1.10.1.8.3","2.10.1.8.3","10.1.8.3",0,"Musculoskeletal",1,"Congenital or acquired deformity or abnormality",3,NA
"678","Laryngeal trauma or perforation","RE10","1.1.1.38.2","2.1.1.38.2","1.1.38.2",0,"Respiratory",1,"Trauma",2,NA
"679","Instrumental damage to small bowel","GA61","1.3.5.38.3","2.3.5.38.3","3.5.38.3",0,"Gastrointestinal",5,"Trauma",3,NA
"680","Hypertrophic cardiomyopathy","CA50","1.2.2.8.9","2.2.2.8.9","2.2.8.9",0,"Cardiovascular",2,"Congenital or acquired deformity or abnormality",9,NA
"681","Congenital mental handicap","PS2","1.12.1.52.1","2.12.1.52.1","12.1.52.1",0,"Psychiatric",1,"Mental handicap",1,NA
"682","Other trisomy","EN76","1.8.11.53.4","2.8.11.53.4","8.11.53.4",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",11,"Trisomy",4,NA
"683","Ischaemic myocardial perforation","CA70","1.2.2.38.3","2.2.2.38.3","2.2.38.3",0,"Cardiovascular",2,"Trauma",3,NA
"684","Hepatic infarction","GA43","1.3.7.41.5","2.3.7.41.5","3.7.41.5",0,"Gastrointestinal",7,"Vascular",5,NA
"685","Thoracic cord injury","NE37","1.4.3.38.2","2.4.3.38.2","4.3.38.2",1,"Neurological (including eyes)",3,"Trauma",2,NA
"686","Traumatic dissection or rupture of abdominal aorta or iliac vessels","CA116","1.2.7.11.2","2.2.7.11.2","2.7.11.2",1,"Cardiovascular",7,"Dissection or aneurysm",2,NA
"687","Lumbar cord or cauda equina injury","NE13","1.4.3.38.3","2.4.3.38.3","4.3.38.3",1,"Neurological (including eyes)",3,"Trauma",3,NA
"688","Portal vein occlusion or thrombosis","GA108","1.2.8.30.6","2.2.8.30.6","2.8.30.6",1,"Cardiovascular",8,"Obstruction",6,NA
"689","Haemorrhage or haematoma from pelvis,  long bones or joints","MU37","1.5.6.2.5","2.5.6.2.5","5.6.2.5",1,"Musculoskeletal",2,"Trauma",5,NA
"690","Pemphigus vulgaris","DE10","1.11.1.28.2","2.11.1.28.2","11.1.28.2",0,"Dermatological",1,"Inflammation",2,NA
"691","Lung cyst","RE68","1.1.4.8.1","2.1.4.8.1","1.4.8.1",0,"Respiratory",4,"Congenital or acquired deformity or abnormality",1,NA
"692","Hyperchloraemic acidosis","EN30","1.8.8.2.1","2.8.8.2.1","8.8.2.1",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Acidaemia",1,NA
"693","Ureteric or renal obstruction","GE54","1.7.1.30.1","2.7.1.30.1","7.1.30.1",0,"Genito-urinary",1,"Obstruction",1,NA
"694","Choanal atresia","RE20","1.1.1.8.5","2.1.1.8.5","1.1.8.5",0,"Respiratory",1,"Congenital or acquired deformity or abnormality",5,NA
"695","Personality disorder","PS7","1.12.1.50.2","2.12.1.50.2","12.1.50.2",0,"Psychiatric",1,"Neurosis or personality disorder",2,NA
"696","Traumatic large bowel perforation or rupture","GA131","1.3.6.38.2","2.3.6.38.2","3.6.38.2",0,"Gastrointestinal",6,"Trauma",2,NA
"697","Multiple sclerosis","NE26","1.1.10.8.6","2.1.10.8.6","1.10.8.6",2,"Respiratory",10,"Congenital or acquired deformity or abnormality",6,NA
"698","Chronic degeneration of mitral valve","CA25","1.2.4.9.2","2.2.4.9.2","2.4.9.2",0,"Cardiovascular",4,"Degeneration",2,NA
"699","Abnormality of pulmonary valve","CA4","1.2.4.8.3","2.2.4.8.3","2.4.8.3",0,"Cardiovascular",4,"Congenital or acquired deformity or abnormality",3,NA
"700","Acute renal failure due to haemodynamic causes","GE4","1.7.1.13.2","2.7.1.13.2","7.1.13.2",0,"Genito-urinary",1,"Failure",2,NA
"701","Secondary lung tumour","RE105","1.1.4.39.2","2.1.4.39.2","1.4.39.2",0,"Respiratory",4,"Tumour or malignancy",2,NA
"702","Extradural haematoma","NE14","1.1.10.15.4","2.1.10.15.4","1.10.15.4",4,"Respiratory",10,"Haemorrhage",4,NA
"703","Steam burns or scalds","DE13","1.11.1.5.2","2.11.1.5.2","11.1.5.2",0,"Dermatological",1,"Burns or hyperthermia",2,NA
"704","Sclerosing cholangitis","GA115","1.3.7.28.6","2.3.7.28.6","3.7.28.6",1,"Gastrointestinal",7,"Inflammation",6,NA
"705","Rheumatoid arthritis","MU19","1.10.3.28.5","2.10.3.28.5","10.3.28.5",0,"Musculoskeletal",3,"Inflammation",5,NA
"706","Laryngospasm","RE65","1.1.1.30.15","2.1.1.30.15","1.1.30.15",0,"Respiratory",1,"Obstruction",15,NA
"707","Ruptured diaphragm","RE33","1.1.9.38.5","2.1.9.38.5","1.9.38.5",2,"Respiratory",9,"Trauma",5,NA
"708","Traumatic myocardial perforation","CA137","1.2.2.38.5","2.2.2.38.5","2.2.38.5",0,"Cardiovascular",2,"Trauma",5,NA
"709","Renal or ureteric tumour","GE47","1.7.1.39.1","2.7.1.39.1","7.1.39.1",0,"Genito-urinary",1,"Tumour or malignancy",1,NA
"710","Malignant pericardial effusion","CA79","1.2.3.39.1","2.2.3.39.1","2.3.39.1",0,"Cardiovascular",3,"Tumour or malignancy",1,NA
"711","Upper limb artery stenosis or occlusion","CA121","1.2.10.30.1","2.2.10.30.1","2.10.30.1",0,"Cardiovascular",10,"Obstruction",1,NA
"712","Exfoliative dermatitis","DE5","1.11.1.28.1","2.11.1.28.1","11.1.28.1",0,"Dermatological",1,"Inflammation",1,NA
"713","Instrumental damage to uterus,  ovaries or fallopian tubes","GE62","1.5.5.3.2","2.5.5.3.2","5.5.3.2",3,"Genito-urinary",3,"Trauma",2,NA
"714","Accidental poisoning with sedatives or hypnotics","EN66","1.6.8.1.1","2.6.8.1.1","6.8.1.1",1,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Accidental intoxication or poisoning",1,NA
"715","Spinal cord or nerve root compression by intervertebral disc","NE10","1.4.3.8.1","2.4.3.8.1","4.3.8.1",0,"Neurological (including eyes)",3,"Congenital or acquired deformity or abnormality",1,NA
"716","Ovarian cyst","GE35","1.7.3.39.4","2.7.3.39.4","7.3.39.4",1,"Genito-urinary",3,"Tumour or malignancy",4,NA
"717","Leaking duodenal anastomosis","GA76","1.3.4.38.5","2.3.4.38.5","3.4.38.5",0,"Gastrointestinal",4,"Trauma",5,NA
"718","Penetrating injury to chest wall","RE89","1.1.9.38.4","2.1.9.38.4","1.9.38.4",0,"Respiratory",9,"Trauma",4,NA
"719","Degenerative coma or encephalopathy","NE45","1.1.10.7.4","2.1.10.7.4","1.10.7.4",1,"Respiratory",10,"Coma or encephalopathy",4,NA
"720","Fournier's gangrene of perineal tissues","GA32","1.7.5.27.3","2.7.5.27.3","7.5.27.3",2,"Genito-urinary",5,"Infection",3,NA
"721","Inhalation pneumonitis (smoke or gases)","RE59","1.1.4.31.7","2.1.4.31.7","1.4.31.7",0,"Respiratory",4,"Oedema, inflammation, fibrosis or inhalation",7,NA
"722","Vitamin D intoxication","EN71","1.8.8.42.2","2.8.8.42.2","8.8.42.2",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Hypercalcaemia",2,NA
"723","Hyaline membrane disease","RE55","1.1.4.31.16","2.1.4.31.16","1.4.31.16",0,"Respiratory",4,"Oedema, inflammation, fibrosis or inhalation",16,NA
"724","Chronic pancreatitis","GA19","1.3.9.28.2","2.3.9.28.2","3.9.28.2",0,"Gastrointestinal",9,"Inflammation",2,NA
"725","Alcohol withdrawal seizures","EN8","1.1.10.33.3","2.1.10.33.3","1.10.33.3",2,"Respiratory",10,"Seizures",3,NA
"726","Pituitary haemorrhage","EN61","1.8.2.15.1","2.8.2.15.1","8.2.15.1",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",2,"Haemorrhage",1,NA
